answer,hint1,hint2,hint3,hint4,hint5
織田信長,安土桃山時代,前田利長,滝川一益,第一次木津川口の戦い,北畠氏
ジャマイカ,ドミニカ共和国,カリブ海,ハイチ,レゲエ,スカ
滋賀県,甲賀市,関西弁,延暦寺,近畿方言,琵琶湖線
アラン・チューリング,王立協会フェロー,クロード・シャノン,チューリングマシン,キングス・カレッジ (ケンブリッジ大学),チューリング賞
坂本龍馬,竜馬がゆく,海援隊,楢崎龍,渡邊昇、桂浜
天橋立,宮津市,雪舟,丹後半島,阿蘇海,橋立 (防護巡洋艦)
ヒエログリフ,古代エジプト,象形文字,マヤ文字,ヒエラティック,コプト文字
フランシスコ・ザビエル,イエズス会,足利市,グレゴリウス15世 (ローマ教皇),マテオ・リッチ,祇園之洲町
京都府,山陰本線,国道8号,国道9号,前原誠司,国道24号
源頼朝,鎌倉時代,鎌倉幕府,源義経,吾妻鏡,後白河天皇
Python,Go (プログラミング言語),オブジェクト指向プログラミング,Geany,Nim,Julia (プログラミング言語)
エベレスト,ネパール,ヒマラヤ山脈,植村直己,マリアナ海溝,K2
機械学習,教師なし学習,コンピュータビジョン,TensorFlow,分類 (統計学),ランダムフォレスト
オーストラリア,第二次世界大戦,ラグビーリーグ,ハワイ州,シドニー,アジアサッカー連盟
アーセナルFC,UEFAチャンピオンズリーグ 2003-04,エミレーツ・スタジアム,UEFAチャンピオンズリーグ 2005-06 決勝,グラニト・ジャカ,ベルント・レノ
阪神タイガース,GAORA,吉田義男,掛布雅之,新井貴浩,藤村富美男
アンパンマン,やなせたかし,香美市立やなせたかし記念館,ドリーミング (歌手グループ),ばいきんまん,ドキンちゃん
ふたご座,ディオスクーロイ,オリオン座,M35 (天体),ハーシェルのぼうえんきょう座,双児宮
インカ帝国,ペルー,クスコ,キープ (インカ),ケチュア語族,ケチュア語
